Client ID,Name,Age,State,City,Location ID,Joined Bank,Banking Contact,Nationality,Occupation,Fee Structure,Loyalty Classification,Estimated Income,Superannuation Savings,Amount of Credit Cards,Credit Card Balance,Bank Loans,Bank Deposits,Checking Accounts,Saving Accounts,Foreign Currency Account,Business Lending,Properties Owned,Risk Weighting,BRId,GenderId,IAId
IND10065,Kavita Mehta,50,Telangana,Hyderabad,93476,10-07-2015,Sneha Reddy,Indian,Software Engineer,Low,Silver,493127.73,252139.3,4,141033.89,3044400.5,3414875.33,2330756.17,958184.5,60924.17,1430637.02,5,1,5,2,4
IND10066,Rahul Verma,40,Gujarat,Surat,71261,15-05-2005,Asha Reddy,Indian,Network Engineer,High,Gold,526708.39,10453.66,2,36084.64,2082837.98,5331751.85,265985.73,3898871.42,33839.66,,4,2,5,1,5
IND10067,Priya Das,22,Gujarat,Surat,84318,05-09-2013,Anjali Singh,Indian,Software Engineer,Mid,Silver,577562.37,222552.9,0,115725.21,3675934.92,2693522.94,142563.71,2188594.84,406754.43,1050534.76,5,3,4,2,4
IND10068,Rohit Gupta,50,Maharashtra,Nagpur,60988,30-10-2005,Priya Patel,Indian,Software Engineer,Low,Silver,549816.03,99922.01,3,148368.41,2715153.49,2063844.43,2262339.85,772502.69,178487.09,4685049.4,5,4,3,1,3
IND10069,Neha Kumar,45,Delhi,New Delhi,58637,03-09-2013,Neha Gupta,Indian,IT Consultant,High,Jade,598979.58,241214.36,2,120172.21,3635406.62,677469.7,1811335.36,3291141.71,272737.2,1927268.57,0,5,3,2,3
IND10070,Ramesh Mehta,25,West Bengal,Howrah,91408,16-12-2014,Anjali Mehta,Indian,Software Engineer,High,Platinum,834108.91,136132.75,0,11256.17,3187562.69,2938323.49,2405276.97,2720848.33,476394.7,856676.81,4,1,4,1,1
IND10071,Anjali Verma,30,Karnataka,Mangaluru,48467,03-08-2013,Rahul Reddy,Indian,System Administrator,High,Jade,1151382.35,117883.88,0,86088.27,2647299.41,3214370.67,1952186.6,1005950.5,56724.31,4414049.16,3,2,5,2,4
IND10072,Kunal Verma,45,Tamil Nadu,Coimbatore,59493,24-10-2009,Priya Mehta,Indian,Network Engineer,Low,Gold,1060184.98,141092.38,3,149589.36,4052566.09,7742111.83,2959858.23,2674680.76,354770.24,3299982.88,2,3,3,1,2
IND10073,Anjali Kumar,22,West Bengal,Kolkata,27342,07-10-2022,Ramesh Patel,Indian,IT Consultant,Low,Platinum,776320.37,116984.24,4,19465.68,4421232.23,572697.44,1200498.34,2870565.06,239332.55,2464770.72,3,4,5,2,1
IND10074,Rohit Kumar,35,Telangana,Hyderabad,62057,03-04-2020,Asha Kumar,Indian,System Administrator,High,Gold,979392.56,47419.56,4,136606.84,277064.25,1037080.91,467516.25,666981.75,161330.38,4255992.8,2,5,5,1,3
IND10075,Neha Singh,40,Karnataka,Mangaluru,36972,23-10-2007,Priya Reddy,Indian,Support Engineer,Low,Gold,,178387.49,1,98809.93,3603163.84,4860854.32,2529164.71,2258835.96,412618.13,170240.93,0,1,5,2,3
IND10076,Suresh Reddy,35,Delhi,New Delhi,83203,28-03-2017,Priya Singh,Indian,,Low,Jade,532562.18,31162.18,0,23712.07,2078108.73,3742315.15,1027175.78,583238.08,430742.54,1915898.36,2,2,4,1,2
IND10077,Sneha Iyer,30,West Bengal,Kolkata,32685,19-06-2015,Suresh Singh,Indian,IT Consultant,Low,Gold,341971.07,94161.48,3,129624.58,2090673.72,7703352.53,2707909.37,3255776.61,466875.77,4326770.57,1,3,2,2,4
IND10078,Kunal Mehta,35,Delhi,New Delhi,4037,08-01-2007,Pooja Iyer,Indian,IT Consultant,Low,Gold,804176.91,24110.86,2,74234.13,4411697.38,5251367.29,1417054.69,2151396.09,423586.18,2585566.62,2,4,3,1,4
IND10079,Sneha Sharma,40,Delhi,New Delhi,74638,14-05-2009,Anjali Iyer,Indian,Bank Officer,Low,Jade,729042.75,231677.19,2,123796.7,3116207.89,4907792.97,394703.54,395759.13,186599.17,5920725.99,4,5,3,2,2
IND10080,Suresh Reddy,40,West Bengal,Howrah,6276,07-01-2006,Rahul Gupta,Indian,,Mid,Jade,391493.63,269008.19,1,49194.88,3065340.61,1341891.26,2971941.06,2959884.25,149617.17,2018240.71,4,1,5,1,4
IND10081,Kavita Mehta,30,Gujarat,Ahmedabad,44416,11-02-2020,Suresh Das,Indian,Bank Officer,High,Silver,817064.14,87003.83,4,86645.16,3607000.56,4689010.05,519831.06,2519810.71,309867.9,5047002.75,1,2,2,2,1
IND10082,Rahul Patel,30,Maharashtra,Pune,55890,25-05-2008,Kavita Patel,Indian,Business Analyst,High,Jade,1079176.82,223392.81,0,105866.28,2593416.06,4509049.84,2994387.38,1918700.22,188412.39,5740112.95,3,3,5,1,3
IND10083,Nisha Kumar,40,Telangana,Warangal,64462,25-04-2009,Arjun Singh,Indian,Support Engineer,Mid,Gold,1144411.27,294855.49,2,105735.14,3451199.56,3937574.48,1444612.24,2246345.49,467242.69,4329986.27,2,4,1,2,5
IND10084,Kunal Das,50,Delhi,New Delhi,20198,08-07-2011,Rahul Singh,Indian,Data Analyst,Mid,Jade,873173.45,226728.16,1,30310.2,2692889.62,7467540.27,2091552.19,557719.09,307838.52,3520982.99,1,5,1,1,5
IND10085,Pooja Patel,35,Maharashtra,Mumbai,44292,02-02-2021,Ritu Verma,Indian,System Administrator,Low,Gold,636562.08,281159.31,3,71617.28,997279.87,7713116.61,970291.43,2587132.69,453968.48,536764.32,4,1,2,2,5
IND10086,Amit Gupta,22,Delhi,New Delhi,53034,03-09-2022,Ritu Gupta,Indian,Bank Officer,Low,Silver,533472.6,184807.06,2,42684.25,4945497.35,4369238.84,1486798.14,3754856.4,425529.87,2808124.61,1,2,1,1,3
IND10087,Anjali Mehta,45,Telangana,Warangal,25405,26-04-2005,Neha Singh,Indian,Network Engineer,Low,Jade,1035640.33,159431.39,0,60124.99,476925.53,7854397.28,1437587.75,3743943.29,3415.06,2301446.34,3,3,3,2,3
IND10088,Ramesh Reddy,30,Telangana,Hyderabad,86679,24-01-2013,Arjun Sharma,Indian,,Mid,Platinum,401730.98,208961.35,2,103543.56,3193556.63,7528053.21,1108956.27,891188.47,478680.27,2869091.4,3,4,5,1,3
IND10089,Ritu Iyer,50,Delhi,New Delhi,33435,05-04-2020,Rohit Iyer,Indian,IT Consultant,High,Platinum,324197.59,173608.93,0,124316.11,4514440.8,1657146.39,1614613.87,666503.25,427243.0,2651043.32,5,5,2,2,5
IND10090,Arjun Verma,50,West Bengal,Howrah,8292,04-03-2015,Ramesh Iyer,Indian,Business Analyst,Mid,Silver,780857.34,205102.64,2,108492.01,1979743.55,6540803.15,2239955.4,2317461.95,22644.9,2067173.2,0,1,5,1,1
IND10091,Neha Mehta,35,Maharashtra,Pune,24590,01-04-2022,Ramesh Das,Indian,Accountant,Mid,Jade,1076139.27,272962.52,3,12037.5,4820721.88,7002702.09,407639.52,3442543.46,59316.58,5957080.66,3,2,5,2,2
IND10092,Suresh Sharma,30,Gujarat,Ahmedabad,61686,09-02-2020,Nisha Das,Indian,,Mid,Gold,485136.44,110386.32,2,28272.07,4376040.87,6135644.94,106329.77,2644188.77,307461.6,5617427.58,0,3,2,1,2
IND10093,Neha Verma,35,West Bengal,Kolkata,79352,28-01-2020,Rahul Patel,Indian,Software Engineer,Mid,Jade,,73008.07,0,21020.34,4967417.21,1911584.06,2750027.13,2308680.24,288737.41,4635229.27,2,4,2,2,3
IND10094,Rohit Iyer,30,Karnataka,Mysuru,37064,15-05-2006,Nisha Reddy,Indian,System Administrator,High,Jade,778058.13,23596.39,2,141237.96,3356712.62,6297146.54,963016.03,1671135.29,74608.8,,4,5,4,1,2
IND10095,Pooja Singh,25,Gujarat,Vadodara,61689,18-04-2006,Nisha Das,Indian,Business Analyst,High,Gold,618998.1,83948.74,2,97005.88,4611130.52,6784710.42,286467.35,2901093.0,95240.81,1610769.53,5,1,5,2,5
IND10096,Amit Verma,45,Karnataka,Mangaluru,89008,15-07-2017,Vikas Mehta,Indian,,Mid,Platinum,1159168.77,14446.77,1,,586581.0,7996597.46,1441973.42,977946.8,302200.77,1227078.86,1,2,5,1,3
IND10097,Kavita Das,30,Delhi,New Delhi,35283,25-01-2013,Asha Mehta,Indian,IT Consultant,Low,Jade,973547.52,102867.65,1,55605.74,2069650.85,4522071.58,671609.55,592231.63,130387.05,5608549.5,4,3,4,2,3
IND10098,Rohit Patel,35,Tamil Nadu,Chennai,75683,10-09-2023,Arjun Mehta,Indian,Support Engineer,High,Platinum,494460.42,248261.66,3,69124.35,3663861.19,2849800.54,428476.0,2190719.85,92023.89,5336187.18,5,4,1,1,5
IND10099,Priya Verma,22,Gujarat,Vadodara,1836,02-04-2014,Ramesh Patel,Indian,Data Analyst,High,Gold,258684.39,156662.55,2,9067.52,3188642.96,7474534.58,2739126.85,2640544.52,7865.88,3193274.91,3,5,1,2,1
IND10100,Kunal Singh,22,West Bengal,Howrah,66826,29-03-2023,Kavita Gupta,Indian,Data Analyst,Low,Gold,478920.39,189736.44,2,122282.16,1336623.68,3205326.56,1125424.23,1630049.37,282501.09,5941398.19,1,1,3,1,1
IND10101,Priya Verma,35,Delhi,New Delhi,73443,05-09-2015,Rahul Sharma,Indian,,Low,Jade,1053063.3,197023.1,2,84878.49,4289801.57,808126.59,1589195.97,179781.51,105708.53,5208701.34,4,2,4,2,3
IND10102,Amit Verma,40,Telangana,Warangal,74860,06-10-2019,Rahul Gupta,Indian,Accountant,Low,Gold,807684.3,228153.8,3,139331.24,1496384.45,4533467.69,1704420.8,3399275.28,338517.48,3243374.59,3,3,2,1,1
IND10103,Nisha Kumar,35,Maharashtra,Mumbai,31427,24-10-2023,Rohit Kumar,Indian,Business Analyst,Mid,Silver,852416.8,237228.96,3,73590.52,1779055.99,7532085.62,1301225.36,2721982.48,330335.95,514164.71,4,4,3,2,2
IND10104,Rahul Verma,35,Tamil Nadu,Chennai,94280,01-08-2022,Ramesh Das,Indian,Accountant,Mid,Silver,336944.41,283458.47,3,53987.62,1348832.22,1103430.69,570301.43,1800886.27,277370.0,2448265.05,0,5,1,1,3
IND10105,Nisha Verma,50,West Bengal,Howrah,51493,12-04-2005,Priya Das,Indian,Business Analyst,Low,Gold,793362.41,59179.05,3,25425.26,1344594.82,2183834.04,446345.11,677157.53,137980.94,1798513.52,0,1,3,2,3
IND10106,Suresh Mehta,35,West Bengal,Kolkata,15021,15-01-2008,Priya Sharma,Indian,,Mid,Jade,1013872.64,105567.1,2,64592.43,4117676.2,5225743.02,1787234.83,1208736.79,301605.63,4171753.77,3,2,3,1,2
IND10107,Ritu Kumar,45,Tamil Nadu,Madurai,83955,06-01-2016,Arjun Kumar,Indian,,Mid,Jade,596764.76,280299.47,1,88834.06,2728145.43,5469615.43,1654796.48,3812488.4,230811.11,4250202.31,3,3,3,2,1
IND10108,Vikas Mehta,30,Karnataka,Mangaluru,32722,01-09-2010,Ramesh Das,Indian,,Low,Jade,1191165.58,148978.06,3,80155.11,4617478.77,6963588.11,1260719.07,156693.0,484214.02,4209805.72,4,4,5,1,1
IND10109,Neha Patel,25,Telangana,Warangal,85803,29-09-2018,Rahul Reddy,Indian,Business Analyst,Mid,Jade,350647.32,38595.9,1,76601.44,2593988.83,4665120.45,1729953.84,1788656.42,195567.08,,4,5,5,2,2
